titre_initiative,resume_initiative,tag_besoin_niv1_code,tag_besoin_niv2_code,tag_produit_niv1_code,tag_produit_niv2_code,tag_structure_niv1_code,nom_structure,url_initiative,contact_mail,contact_tel,materiel_utilise,machine_utilisee,capacite_production,version,adresse,code_postal,ville,pays,url_illustration,commentaires,source,est_actif,langue,auteur_data,validation,notes_validation,a_publier,date_maj
Makers for life,-,SANTE,-,INITIATIVE/DIY,RESPIRATEUR_VENTILATOR/MAKERS,GROUPE,,https://docs.google.com/document/d/16GDm0yiQM85stHgQlaYfPcS1Y6g9GwhGpb4Ofgsrmy8/edit,,,-,-,-,-,NA,NA,NA,FRANCE,https://raw.githubusercontent.com/co-demos/covid-viz/master/graphisme/covid-illustrations/illu_ventilateur_2.png?raw=true,-,,oui,fr,JPy,NR,,OUI,
Makers projects,-,SANTE,-,LISTE/INITIATIVE/DIY,MAKERS,INDIVIDU,,"https://www.notion.so/af31d3adfff541a18dd6336e16fd223b?v=1d3b06185a42422f9515011cbad7af12
",,,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/graphisme/covid-illustrations/illu_makers_2.png,-,,oui,fr,JPy,NR,,OUI,
FabLab Corti ,,NUMERIQUE,,DIY/NUMERIQUE,MAKERS,NR,,https://www.facebook.com/fablabcorti,,,,,,,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/graphisme/illustrations/other/makers_uniti.jpg?raw=true,,,oui,fr,JPy,NR,,OUI,
Covisière YOUFACTORY V2,"De Lyon  validé par les hôpitaux du coin  peu gourmand en matière  pas d'élastique (donc facile à nettoyer).

Modèle testé et encouragé par la plateforme entraine makers covid19",SANTE,,DIY,VISIERE,GROUPE,You Factory,https://grabcad.com/library/covisiere-youfactory-v1-1,,,,,,,NA,NA,NA,NA,https://d2t1xqejof9utc.cloudfront.net/screenshots/pics/25bc593dfe153dd74d4a029fe094ffa9/original.jpeg,,,,fr,JPy,UTILISE_DANS_STRUCT_MEDICALE_FR,,OUI,01/04/2020
Modèle Proto Shield,Modèle testé et encouragé par la plateforme entraine makers covid19,SANTE,,DIY,VISIERE,GROUPE,Proto Haven,https://www.protohaven.org/proto-shield/,,,,,,,NA,NA,NA,NA,https://i1.wp.com/www.protohaven.org/wp-content/uploads/2020/03/16.jpg?strip=info&w=960&ssl=1,,,,fr,,,,OUI,01/04/2020
Masque visière anti-projection pour laser,Modèle testé et encouragé par la plateforme entraine makers covid19,SANTE,,DIY,VISIERE,NR,,https://cults3d.com/fr/mod%C3%A8le-3d/outil/masque-visiere-anti-projection-pour-laser,,,,,,,NA,NA,NA,NA,https://files.cults3d.com/uploaders/12892626/illustration-file/67ccfba6-54bd-4f43-98a3-dad36df7bcfd/IMG_20200323_221646_large.jpg,,,,fr,,,,OUI,01/04/2020
Guide de création de gel hydroalcoolique,Pad de présentation du guide de création de gel hydroalcoolique,SANTE,HYGIENE,DIY,GEL,GROUPE,,https://pad.degrowth.net/pCCyDqYpTQqfoj2LabCevA#,-,-,-,-,-,-,NA,NA,NA,NA,https://medias.liberation.fr/photo/1298610-checknews-gel.jpg?modified_at=1583665434&width=960,,,,fr,JPy,NR,,OUI,
Breezy - the crisis emergency ventilator,Projet Breezy porté par le collectif JOGL. Breezy vise la conception d'un ventilateur pulmonaire peu coûteux  simple et facile à utiliser. le projet inclut une application Android pour fournir des graphiques en ligne sur le débit et la pression réels.,SANTE,HOPITAL,DIY,RESPIRATEUR_VENTILATOR,GROUPE,,https://app.jogl.io/project/151,-,-,-,-,-,-,NA,NA,NA,NA,https://app.jogl.io/static/media/logo_img.70d01ace.png,,,,fr,JPy,NR,,OUI,
COVID-19 Medical Face Shield,-,SANTE,PROTECTION,DIY,VISIERE,INSTITUTION,UNIVERSITY of WISCONSIN–MADISON Makerspace,https://making.engr.wisc.edu/shield/,-,-,-,-,-,-,NA,NA,NA,NA,https://making.engr.wisc.edu/wp-content/uploads/sites/1271/2020/03/Covid-19_Hero_1_v3-1.png,,,,fr,JPy,PARTIELLE,Il y a des personnels de santé dans l'équipe. ce n'est pas hyper clair si leur modèle est utilisé dans les hopitaux ou s'ils pointent celui dont ils s'inspirent. Ils cherchent des acteurs capable de produire en série.,OUI,
Low-cost & Open-Source Covid19 Detection kits,Kits de détection Covid19 à bas coût et Open Source porté par le collectif JOGL,SANTE,HOPITAL,DIY,TESTKIT,ANONYME,,https://app.jogl.io/project/118,-,-,-,-,-,-,NA,NA,NA,NA,https://app.jogl.io/static/media/logo_img.70d01ace.png,,,,fr,JPy,NR,,OUI,
